,BURNCLAS,Tm,P,tree_genus,ClusterID
631,4.0,18.8,122.6,0,1
632,4.0,16.2,42.8,3,5
633,4.0,19.3,99.6,0,0
634,4.0,20.6,39.4,3,5
635,4.0,20.3,15.7,1,4
636,4.0,18.7,40.3,0,5
637,4.0,14.3,70.8,0,6
638,4.0,15.8,42.8,0,5
639,4.0,18.0,170.2,0,1
640,4.0,18.6,149.4,0,1
641,4.0,18.0,170.2,3,1
642,4.0,18.5,30.4,1,5
643,4.0,18.0,170.2,1,1
644,4.0,18.0,170.2,0,1
645,4.0,8.5,29.4,0,5
646,4.0,20.3,61.6,1,6
647,4.0,14.2,37.6,0,5
648,4.0,20.0,13.5,3,4
649,4.0,8.5,90.0,1,0
650,4.0,14.9,22.3,4,4
651,4.0,18.0,170.2,0,1
652,4.0,20.3,61.6,1,6
653,4.0,18.8,122.6,3,1
654,4.0,15.3,84.6,1,0
655,4.0,20.0,13.5,3,4
656,4.0,14.9,22.3,0,4
657,4.0,14.9,22.3,0,4
658,4.0,15.5,41.0,9,5
659,4.0,18.7,40.3,5,5
660,4.0,20.6,39.4,3,5
661,4.0,19.0,99.6,0,0
662,4.0,15.8,65.4,0,6
663,4.0,20.3,61.6,1,6
664,4.0,12.0,73.0,1,6
665,4.0,18.7,40.3,0,5
666,4.0,19.6,39.4,3,5
667,4.0,18.6,23.8,0,4
668,4.0,17.4,102.6,0,0
669,4.0,16.2,42.8,0,5
670,4.0,18.7,40.3,3,5
671,4.0,9.3,0.0,0,4
672,4.0,21.0,2.4,1,4
673,4.0,19.3,99.6,3,0
674,4.0,19.6,39.4,1,5
675,4.0,20.6,39.4,3,5
676,4.0,7.8,15.0,1,4
677,4.0,18.7,40.3,3,5
678,4.0,20.0,13.5,1,4
679,4.0,13.9,56.0,1,6
680,4.0,20.0,13.5,3,4
681,4.0,16.2,42.8,1,5
682,4.0,17.7,79.3,1,0
683,4.0,15.8,65.4,0,6
684,4.0,19.3,99.6,0,0
685,4.0,7.8,15.0,12,4
686,4.0,4.9,0.0,0,4
687,4.0,5.8,17.0,0,4
688,4.0,18.7,40.3,0,5
689,4.0,19.2,35.0,1,5
690,4.0,20.6,39.4,1,5
691,4.0,13.4,30.0,0,5
692,4.0,18.0,170.2,0,1
693,4.0,16.1,42.4,3,5
694,4.0,20.6,39.4,3,5
695,4.0,15.3,84.6,3,0
696,4.0,20.0,13.5,3,4
697,4.0,18.6,149.4,1,1
698,4.0,19.3,99.6,3,0
699,4.0,0.8,42.3,1,5
700,4.0,18.7,40.3,3,5
701,4.0,18.7,40.3,0,5
702,4.0,8.8,32.6,1,5
703,4.0,19.2,35.0,1,5
704,4.0,19.1,136.4,0,1
705,4.0,15.2,17.2,0,4
706,4.0,18.6,23.8,0,4
707,4.0,5.3,61.6,3,6
708,4.0,16.2,42.8,3,5
709,4.0,19.6,39.4,1,5
710,4.0,10.8,63.1,1,6
711,4.0,16.5,133.5,3,1
712,4.0,13.9,54.6,3,6
713,4.0,18.3,134.0,1,1
714,4.0,19.3,99.6,4,0
715,4.0,16.7,104.2,0,0
716,4.0,20.6,39.4,2,5
717,4.0,19.3,99.6,3,0
718,4.0,9.4,73.0,1,6
719,4.0,20.3,61.6,1,6
720,4.0,21.0,19.2,1,4
721,4.0,4.9,0.0,1,4
722,4.0,19.6,39.4,1,5
723,4.0,18.7,40.3,0,5
724,4.0,18.6,149.4,3,1
725,4.0,19.3,99.6,6,0
726,4.0,4.3,85.4,1,0
727,4.0,19.6,39.4,1,5
728,4.0,19.3,99.6,0,0
729,4.0,18.8,122.6,0,1
730,4.0,22.9,70.3,0,6
731,4.0,18.7,40.3,3,5
732,4.0,13.4,30.0,0,5
733,4.0,20.0,13.5,1,4
734,4.0,18.7,40.3,0,5
735,4.0,18.7,40.3,1,5
