X,Y,BURNCLAS,Tm,P,tree_genus
-94.9637160906209,52.2819552972308,4.0,19.3,99.6,Pinu
-88.9159135705922,52.0954105042198,4.0,11.3,58.8,Pice
-92.0582598544354,52.1904055833317,4.0,18.4,32.0,Pice
-93.8239570977565,52.2452409391246,4.0,20.4,38.6,Thuj
-94.8543227356523,52.2216812146523,4.0,19.3,99.6,Pinu
-95.2528262216854,52.222403800905,4.0,18.7,40.3,Pinu
-90.47312427814,52.070521730566,4.0,19.6,59.5,Pice
-82.9752821508272,51.5096661567886,4.0,16.7,36.8,Pice
-93.0686075258776,52.1226180608619,4.0,19.0,99.6,Pice
-92.8809496438757,52.0980913977079,4.0,19.0,99.6,Pice
-95.015191991203,52.0882084688445,4.0,19.3,99.6,Pinu
-89.4057358491924,51.8744945382571,4.0,19.7,97.2,Pice
-90.8042415076298,51.9422704219601,4.0,19.6,59.5,Pice
-89.292225033722,51.8365636137999,4.0,19.7,97.2,Pice
-95.0046537873865,51.9311130942947,4.0,20.4,38.6,Pice
-92.664867720017,51.7694102563548,4.0,20.0,40.2,Pice
-94.8551387837179,51.7126232180895,4.0,20.4,38.6,Lari
-96.3288201044123,51.7589448037628,4.0,18.7,40.3,Pinu
-79.7251772746813,50.5759276660007,4.0,16.4,58.0,Pice
-95.2465784898203,51.6893311221684,4.0,20.6,39.4,Pinu
-92.4033683726104,51.5199267277592,4.0,20.0,40.2,Pice
-92.0997114280304,51.4823901292628,4.0,20.6,35.0,Pice
-96.3492935347473,51.5637861614969,4.0,22.9,70.3,Pice
-89.8885308125911,51.2025472175571,4.0,15.6,73.8,Pice
-90.7847647775174,51.4203320866572,4.0,19.6,59.5,Pice
-88.9104072308286,51.2115029332118,4.0,17.9,54.0,Pice
-91.9846263151743,51.2168074511878,4.0,20.6,35.0,Pice
-94.6691820230014,51.2130843476723,4.0,20.4,38.6,Pice
-97.5329325856843,51.3444517844184,4.0,6.3,25.6,Popu
-95.5271031679934,51.0811224156439,4.0,8.8,32.6,Pinu
-95.8756635787942,51.1326001966927,4.0,20.6,39.4,Pinu
-97.8754038614344,51.1027356110804,4.0,13.5,33.8,Popu
-89.6318472046759,50.8278713491501,4.0,19.7,97.2,Pice
-89.2612813072028,50.7150324972915,4.0,16.2,44.8,Pice
-89.8775912758365,50.7710540684286,4.0,18.1,90.0,Pice
-89.2386801033544,50.5616645764747,4.0,17.9,54.0,Pice
-89.957324470139,50.462503136799,4.0,11.1,50.0,Pice
-90.1420355148657,50.2558680273844,4.0,10.1,29.8,Pice
-88.6552683009626,49.8281373999272,4.0,18.8,44.6,Pice
-86.6207337200054,49.421780592068,4.0,19.1,54.0,Pice
-95.9363895532294,49.7755183966636,4.0,21.0,2.4,Popu
-81.6102123911818,47.472379754436,4.0,6.7,88.1,Pinu
-106.727500600598,56.3375336005895,4.0,13.4,35.4,Pice
-123.355536581156,65.3200855251843,4.0,13.6,81.0,Pice
-91.5842070515209,51.8741199298816,4.0,18.4,32.0,Pice
-93.7799703305509,52.2927412217245,4.0,19.0,99.6,Pice
-93.8687368953334,53.8897501629254,4.0,19.3,99.6,Pinu
-104.322100304306,55.7925110501181,4.0,16.6,129.0,Pinu
-94.1094856024039,52.54040776987,4.0,19.0,99.6,Pice
-89.3670388745775,51.9343632874585,4.0,19.7,97.2,Pice
-88.6509832312255,52.1866672960032,4.0,11.3,58.8,Pice
-116.373942755908,65.5490846415224,4.0,18.7,60.0,Pice
-114.439268999112,58.4649230013062,4.0,11.8,18.8,Popu
-130.340775096765,61.8256963643695,4.0,1.6,16.4,Abie
-133.299351978419,62.1325750050501,4.0,8.1,6.8,Pice
-136.797700366935,62.6706169459878,4.0,8.1,14.2,Pice
-138.603678973094,62.8367774933679,4.0,14.0,98.7,Pice
-139.019521645754,63.0431659767314,4.0,14.0,93.8,Pice
-135.231309946735,65.3281297484836,4.0,15.3,107.0,Pice
-119.688134998241,49.0028169958761,4.0,18.5,5.0,Pseu
-119.511311001042,49.9294729999927,4.0,17.4,9.8,Pseu
-120.658200121272,49.7835818945603,4.0,2.8,34.8,Pseu
-119.605900006567,50.4982030030703,4.0,15.0,6.0,Pseu
-122.009420005706,52.1065000008446,4.0,2.6,6.9,Pinu
-123.572910004059,52.852979999343,4.0,3.9,4.3,Pinu
-124.430495992528,53.0832390036615,4.0,3.1,3.6,Pinu
-125.007938006053,53.6008749995411,4.0,3.5,9.8,Pinu
-124.696945999451,53.9655010017534,4.0,5.6,16.0,Pinu
-121.862799995771,56.0597499959415,4.0,10.5,97.2,Popu
-120.29336000712,58.8876500014241,4.0,14.0,50.9,Pice
-122.296539998007,58.6691199968864,4.0,14.3,119.7,Pice
-122.039160003002,59.3743700025102,4.0,16.5,58.8,Pice
-123.048999994325,59.383730003599,4.0,16.5,58.8,Pice
-78.7573285056036,46.7237200599627,4.0,9.2,54.4,Acer
-75.6768028269713,47.0705538987979,4.0,16.3,137.6,Pice
-78.4926881876923,50.8425479803574,4.0,15.1,75.5,Pice
-69.9783479180158,49.5895676936446,4.0,14.1,1.2,Pice
-70.4528219694593,49.7575180418164,4.0,14.1,1.2,Pice
-70.689765513917,50.1476589876591,4.0,12.8,46.2,Pice
-70.0081240193915,50.1218833358623,4.0,12.8,46.2,Pice
-77.9913811614685,52.1072944636382,4.0,12.5,31.2,Pice
-69.6362127841161,50.4200607106534,4.0,15.5,83.1,Pice
-70.5824043130698,50.8318463702697,4.0,12.8,46.2,Pice
-70.3407379644416,50.5784757640016,4.0,12.8,46.2,Pice
-67.6798052092718,50.6376669115714,4.0,12.7,50.4,Pice
-79.0509202446703,53.5174374560424,4.0,14.7,38.2,Pinu
-76.6771673627279,53.5235397368229,4.0,14.7,38.2,Pice
-104.401345299588,55.8630075996739,4.0,13.0,20.3,Pinu
-106.064949344848,52.9331092562757,4.0,10.7,20.7,Popu
-108.232518810363,54.1548068273855,4.0,9.7,14.1,Pice
-106.328050112916,52.8951506759202,4.0,10.7,20.7,Popu
-107.78218151183,56.3032921485871,4.0,14.8,86.6,Pice
-108.735511622421,56.4784457009955,4.0,10.6,13.4,Popu
-105.803774599178,56.849220599494,4.0,13.4,35.4,Pice
-107.063232334672,60.0129278369131,4.0,13.8,5.6,Pinu
-111.382931034184,60.3622360392073,4.0,14.9,18.5,Pinu
-112.141588169375,60.8126063642685,4.0,15.7,86.4,Pinu
-109.64121121237,61.12656530963,4.0,11.4,43.1,Pinu
-121.011889197619,60.7073640268675,4.0,12.3,81.4,Pice
-121.019241836456,61.3540840902596,4.0,17.9,40.0,Pice
-113.102220469058,63.0455807207663,4.0,17.2,43.4,Pice
-116.885299311312,62.7973498117382,4.0,12.7,34.2,Pinu
-122.868683409084,61.9248466117114,4.0,16.5,62.5,Pice
-115.996023950592,64.6884094644372,4.0,18.7,60.0,Pice
-116.754596299617,64.0890023423723,4.0,18.7,60.0,Pice
-116.885596938326,64.1037019849291,4.0,18.7,60.0,Pice
-129.251976023781,66.6044152050823,4.0,13.4,16.5,Pice
-131.094716789236,66.3092707654604,4.0,13.4,16.5,Pice
-129.417590178591,67.6292661292423,4.0,13.1,49.2,Pice
-133.489233453446,68.089869144273,4.0,10.5,33.3,Pice
-114.991401549322,51.1272555978372,4.0,7.0,144.7,Popu
-115.066102872197,52.4594640117051,4.0,8.3,87.5,Pice
-114.88335468165,52.6347904389594,4.0,8.3,87.5,Popu
-115.26542506523,53.1459807897471,4.0,10.7,67.7,Popu
-113.802603634753,54.4804706411157,4.0,11.7,11.5,Popu
-115.311597939451,53.3959413496122,4.0,-3.6,6.8,Pice
-113.160356838328,54.9500098991416,4.0,5.5,8.0,Popu
-115.695932973899,54.2507115922084,2.0,11.2,114.8,Pice
-116.943859223546,54.3825870675934,2.0,10.4,45.2,Popu
-116.246400589429,55.1475042202564,4.0,11.9,43.9,Popu
-115.413048827001,55.348698204754,4.0,9.8,30.6,Popu
-111.020605087409,56.400804519641,4.0,13.5,91.8,Lari
-114.095605569055,54.8574759107718,4.0,11.1,18.2,Pice
-111.244994525533,56.1566345153116,4.0,11.0,18.2,Pinu
-118.462242963895,55.8871232675245,4.0,11.8,9.4,Popu
-114.57939972148,57.2662601597827,4.0,14.4,5.0,Pice
-117.249367639883,55.1575326610887,4.0,11.7,7.0,Pice
-110.764751174749,56.4865890439829,4.0,14.3,42.6,Pinu
-116.767525569088,58.5631536489334,4.0,11.3,15.2,Popu
-117.316806002582,58.8971409999039,4.0,16.9,119.2,Pice
-111.356717391614,56.4554632527013,4.0,16.3,1.5,Pice
-114.149296086679,56.1860053543425,4.0,1.6,66.5,Pice
-110.96037113848,56.3770424771014,4.0,11.0,18.2,Popu
-113.919819843981,55.9159639306704,4.0,12.9,8.8,Lari
-119.894388997617,59.5577740001446,4.0,14.3,13.8,Pice
-118.934347999012,59.9270239991759,4.0,11.7,63.2,Pice
-116.257876947567,56.5364474082597,4.0,7.0,44.3,Pice
-115.806115431544,55.3680311751459,4.0,11.9,20.8,Lari
-100.335121955978,53.7134114788917,4.0,15.8,65.4,Pice
