X,Y,Tm,P,tree_genus,BURNCLAS
-99.4041552639057,58.9540383941298,16.3,80.9,Pice,4.0
-60.0486476232103,53.2849680775948,17.3,95.0,Pice,4.0
-68.0120755676004,55.8669687086819,15.1,33.7,Pice,4.0
-122.596202027325,55.6578567282897,16.3,7.1,Abie,4.0
-126.27024799728,54.3559680013512,13.4,14.0,Pinu,4.0
-104.613329980499,58.4238479135722,16.6,75.5,Pinu,4.0
-101.476299747955,58.6329033995339,13.2,96.6,Pice,4.0
-122.499468862212,55.408024403114,10.8,39.3,Tsug,4.0
-104.692193555681,58.27397870237,16.6,75.5,Pice,4.0
-122.429269350287,55.3022660674048,15.9,36.1,Abie,4.0
-108.562820772074,57.7580919972541,17.4,100.1,Pinu,4.0
-123.881050005746,54.8956800031884,18.5,14.8,Pinu,4.0
-106.574686270599,58.0840856783634,17.2,48.7,Pice,4.0
-102.698766966844,58.3140095747212,15.2,56.2,Pice,4.0
-104.156338372787,58.2244093691742,16.6,75.5,Pice,4.0
-110.157804143646,57.615557872112,19.0,89.2,Pinu,4.0
-104.204086025233,58.1351010886709,16.6,75.5,Pice,4.0
-122.162843183705,55.2224110106221,16.3,15.8,Abie,4.0
-66.7278138684683,54.8261995302778,12.0,50.4,Pice,4.0
-110.724927308659,57.3632055317385,18.5,26.1,Pice,4.0
-100.105112811893,58.2731787542333,13.5,138.1,Pice,4.0
-116.109043604437,56.4334908436943,14.9,51.0,Lari,4.0
-102.556447931778,58.0973371077791,17.5,57.9,Pice,4.0
-102.723429185329,58.0789158810187,17.5,57.9,Pice,4.0
-107.041924335121,57.5413311716255,17.2,48.7,Pice,4.0
-104.313517710406,57.9133081105786,14.9,50.6,Pice,4.0
-125.781065899426,53.8863708695543,15.5,34.0,Pinu,4.0
-126.817307603306,53.3912362599425,18.4,11.1,Pinu,4.0
-103.905940515044,57.7401257558527,15.2,56.2,Pice,4.0
-103.283300086227,57.7692747413218,15.2,56.2,Pice,4.0
-108.578233512854,57.2343476851769,17.8,51.1,Pinu,4.0
-104.349610748995,57.6605210386908,14.9,50.6,Pice,4.0
-100.998464491308,57.8183106794576,15.5,47.7,Pice,4.0
-100.242769569291,57.8444057119853,15.5,47.7,Pice,4.0
-108.23455993922,57.1601568375462,19.1,73.0,Pinu,4.0
-104.414250384142,57.5095921989904,14.9,50.6,Pice,4.0
-107.230407073475,57.2701856207178,15.7,27.3,Pinu,4.0
-125.278744280463,53.288396399029,15.5,34.0,Pinu,4.0
-108.95099123097,56.8355906633793,19.1,73.0,Pice,4.0
-103.772839894026,57.3470457607642,15.2,56.2,Pice,4.0
-120.000216821436,54.8401221727358,16.4,76.7,Pinu,4.0
-106.815479911483,56.8355987175986,17.3,51.0,Pinu,4.0
-108.313797569038,56.8528007579455,17.8,51.1,Pinu,4.0
-62.2662556381263,52.4853451025054,16.4,69.6,Pice,4.0
-101.751580669765,57.3652734976184,15.5,47.7,Pice,4.0
-104.010600139789,57.1782751673293,13.4,10.4,Pinu,4.0
-109.952238643479,56.6010276479969,17.0,33.6,Pice,4.0
-105.392751899545,57.1026921000461,16.5,51.9,Pice,4.0
-108.371091453913,56.7290912659388,15.2,67.9,Pinu,4.0
-120.164914636367,54.6103327172567,17.5,52.4,Pinu,4.0
-100.67685393853,57.363156089423,15.5,47.7,Pice,4.0
-105.210298200605,57.0361651991561,14.9,24.1,Pice,4.0
-107.615241062634,56.8142231604564,19.1,73.0,Pinu,4.0
-121.331375915366,54.3302933123339,17.1,103.0,Tsug,4.0
-107.766431947926,56.7275720675071,17.8,51.1,Pinu,4.0
-108.142739881836,56.5794577109027,19.1,73.0,Pinu,4.0
-107.288667445052,56.7612454891846,17.8,51.1,Pinu,4.0
-104.003611139857,56.9944224880282,15.8,70.0,Pice,4.0
-100.55045114804,57.1925216737014,15.5,47.7,Pice,4.0
-70.9106966300064,54.6550070712037,14.8,83.5,Pice,4.0
-105.434924600251,56.789802699456,14.9,24.1,Pice,4.0
-96.8381759880434,57.2580003309903,12.5,66.1,Pice,4.0
-115.4257771826,55.3782796145866,8.0,31.2,Popu,4.0
-106.434906779665,56.6359832118876,16.3,31.2,Pinu,4.0
-119.952791000411,54.3603969997221,17.5,174.7,Pinu,4.0
-124.263988564346,53.1273621251876,17.2,7.7,Pinu,4.0
-61.6224461527903,51.8316334541887,16.4,69.6,Pice,4.0
-64.0573562069453,52.5433122075546,15.1,115.7,Pice,4.0
-62.4812119230806,52.0884548810968,16.4,69.6,Pice,4.0
-101.773721261212,56.8571379937444,15.5,47.7,Pice,4.0
-103.078477397158,56.7294163445445,15.8,70.0,Pice,4.0
-117.42113345372,54.8194433193386,11.2,41.8,Popu,4.0
-107.275938968341,56.3338628151264,17.8,51.1,Pinu,4.0
-112.603423263726,55.6342592796447,15.8,23.1,Popu,4.0
-106.782851507696,56.2610644954868,19.1,73.0,Pinu,4.0
-102.210007326169,56.7806737562638,15.3,49.6,Pice,4.0
-60.9100456496218,51.211989559368,14.8,91.7,Genc,4.0
-62.3306203321534,51.7633972599816,16.4,69.6,Pice,4.0
-107.263956632777,56.1742261530218,19.1,73.0,Pinu,4.0
-107.583474958086,56.1584941012096,19.1,73.0,Pinu,4.0
-106.915377338507,56.2183758315919,17.8,51.1,Pinu,4.0
-104.301329456057,56.4528915175481,15.8,70.0,Pice,4.0
-64.1390718838685,52.2644686113767,16.4,69.6,Pice,4.0
-62.5946326439576,51.6043703979503,16.4,69.6,Pice,4.0
-88.7627065694829,56.4254052977823,12.9,82.7,Pice,4.0
-91.222743302276,56.5149015569152,14.5,91.0,Pice,4.0
-118.668842803683,53.9967974218767,12.9,37.2,Pinu,4.0
-118.282984457892,54.0588254617872,12.9,37.2,Pinu,4.0
-66.9039058462353,52.4556249024266,14.7,146.7,Pice,4.0
-65.4858562466253,51.8524138526598,12.5,1.0,Pice,4.0
-123.641517713716,52.1174454053841,17.3,22.4,Pinu,4.0
-88.0010579,55.7680371999963,12.9,82.7,Pice,4.0
-112.060092312917,54.591669129805,10.8,37.1,Popu,4.0
-104.682851516448,55.4397604113204,7.2,61.2,Pice,4.0
-66.2946962438657,51.4781849619951,15.8,99.4,Pice,4.0
-102.922043668719,55.1915044003037,7.2,27.2,Pinu,4.0
-104.197710496331,54.9316955039479,17.4,83.3,Pice,4.0
-99.9309000862754,55.0502299261483,18.4,39.8,Popu,4.0
-101.838542145804,54.7523740615522,9.0,22.8,Pinu,4.0
-94.2707608581395,54.9589523223179,14.4,40.8,Pice,4.0
-77.4211871857344,53.395410908363,13.8,66.8,Pice,4.0
-87.7051338013522,54.0954824516208,12.9,82.7,Pice,4.0
-74.9574476519252,52.2896451523174,8.3,25.6,Pice,4.0
-88.330614,54.1116201999948,13.7,63.3,Genc,4.0
-106.577822102412,53.6437318218872,8.1,50.3,Popu,4.0
-116.510127319718,51.9665846559202,16.7,50.8,Pice,4.0
-94.408907123731,54.2580566080581,17.7,104.8,Pice,4.0
-122.742216997353,50.3445779999921,21.5,46.8,Pseu,4.0
-76.1493256360687,52.2805244138126,13.5,129.2,Pice,4.0
-85.1075896967801,53.5144549472868,12.6,79.1,Pice,4.0
-100.360565779638,53.7037398277452,18.3,33.8,Pice,4.0
-102.652306199741,53.4773540003712,8.9,15.6,Popu,4.0
-89.0440883000001,53.5444475999942,14.9,70.4,Pice,4.0
-78.2941065906008,52.3430880884779,13.8,66.8,Pice,4.0
-122.193189995565,49.9509099954895,13.4,59.9,Abie,4.0
-104.743836749971,53.1889086811235,11.9,9.4,Pinu,4.0
-94.6744069309582,53.5564808783244,14.4,40.8,Pice,4.0
-103.080945837641,53.1642560339879,8.9,15.6,Popu,4.0
-93.9390816415202,53.4423880667073,16.8,74.1,Pinu,4.0
-95.897925745606,53.4451210943209,16.9,99.4,Pice,4.0
-93.7880920509833,53.4248316939856,14.7,46.2,Pice,4.0
-82.923592,52.685165999993,15.6,185.4,Pice,4.0
-96.4759177752573,53.3282032442183,16.5,117.3,Pice,4.0
-96.8436207639414,53.2617668756287,16.5,117.3,Pice,4.0
-95.916767823983,53.1335656800037,16.7,75.7,Pice,4.0
-77.8147207516491,51.6182085340482,8.0,50.0,Pice,4.0
-121.834444498155,49.2975349317507,20.1,26.6,Pseu,4.0
-77.4252687907941,51.1684621510342,8.5,50.0,Pice,4.0
-81.5457026590751,51.516375569791,13.9,120.2,Pice,4.0
-115.586184997662,50.2140729961987,21.2,15.6,Pice,4.0
-115.399844995517,50.1790430000566,18.8,0.0,Pseu,4.0
-115.195302998846,50.1763379982165,12.2,58.5,Pseu,4.0
-119.479982141889,49.1076694648101,10.6,19.4,Pseu,4.0
-115.07058999984,50.1084089997114,12.2,58.5,Pseu,4.0
-92.5827749,51.939978199992,17.3,45.9,Pice,4.0
-94.9981476,51.3393244999911,17.4,81.6,Pice,4.0
-98.9232116317458,50.6293031585846,15.4,164.5,Popu,4.0
-92.122973,50.66712419999,5.1,54.6,Pice,4.0
-98.7825032946377,50.6098171164724,16.7,10.4,Popu,4.0
-75.7207031246288,48.2816772462692,15.6,91.3,Pice,4.0
-92.2438033665107,49.6989227019652,16.2,145.2,Pice,4.0
-79.0424481348616,48.2650994676014,0.0,67.7,Genh,4.0
-96.72229498473,49.3349927529738,11.5,50.4,Popu,4.0
-85.9607340567898,48.4028591058613,7.3,44.5,Betu,4.0
-94.6837741597282,48.7987995224805,10.0,97.6,Popu,4.0
-119.654790874292,49.310903549897,22.8,21.2,Pinu,4.0
-120.43150255423,57.3467667883437,16.9,3.0,Pice,4.0
-115.105280006857,49.1665500000768,6.3,7.0,Pseu,4.0
-115.198282004813,49.2979690003953,21.1,3.2,Pseu,4.0
-116.997041005989,49.2779870038306,19.9,66.8,Abie,4.0
-115.408059995351,49.6976799956437,18.1,37.8,Pseu,4.0
-117.1038830021,49.3616269960451,21.1,24.6,Abie,4.0
-116.345769997883,49.5505399969626,19.8,43.4,Abie,4.0
-117.556528762835,49.514603348341,20.0,69.8,Abie,4.0
-119.560074336466,49.0670960639859,26.4,0.0,Pice,4.0
-117.349801062346,49.679130537676,21.3,20.8,Abie,4.0
-115.57978699427,50.0879240023013,18.6,47.8,Lari,4.0
-119.74623108266,49.136453632776,11.0,14.8,Pseu,4.0
-117.002253998565,49.7925350000616,21.3,16.8,Abie,4.0
-120.424081315499,49.035563750679,20.3,17.8,Pice,4.0
-126.964603993662,55.1487229988883,15.0,52.6,Pinu,4.0
-119.814062462559,49.2223653263351,11.0,14.8,Pinu,4.0
-117.378431149131,49.8701840536884,21.4,19.6,Abie,4.0
