X,Y,Tm,P,S,BS,Tx,POLY_HA,tree_genus,BURNCLAS
-121.897061001806,58.1026650040863,16.6,41.8,0.0,,33.5,2421.14857277,Pice,4.0
-107.089817327626,60.4840619686079,14.2,18.5,,,27.7,130.427865298,Pice,4.0
-118.782058998882,58.7634599997985,16.1,22.2,,,31.5,43.2013256509,Lari,4.0
-110.837854853361,60.0698831133568,16.5,46.3,,,29.0,92.2822101514,Pinu,4.0
-113.819631676482,59.5623569413642,16.2,49.6,,,31.7,20798.2013376,Lari,4.0
-112.574056041239,59.7887496450275,16.7,39.0,0.0,,28.6,367.195197346,Pinu,4.0
-113.052130042174,59.6087535109643,15.8,18.9,0.0,,29.8,24888.3853217,Betu,4.0
-118.158635754053,58.7982366247211,16.1,22.2,,,31.5,762.858508725,Popu,4.0
-104.384143238903,60.611332791871,12.6,52.2,0.0,,26.0,72.2114988963,Pice,4.0
-108.147144839455,60.1389279580985,14.2,18.5,,,27.7,19913.9636439,Pinu,4.0
-115.120882050485,59.2391341852199,16.6,44.8,,,30.7,9848.74704991,Pice,4.0
-120.481412309745,58.2337269319788,11.1,29.2,16.0,,26.5,20.6020794756,Pice,4.0
-121.489336619057,57.9576563271912,12.0,10.6,0.0,,25.2,741.832108608,Pice,4.0
-111.192498696929,59.7902241050173,15.6,17.4,,,30.3,61.7560282157,Pinu,4.0
-113.717969411225,59.2053848488392,16.2,49.6,,,31.7,12833.4803404,Pice,4.0
-113.174977237029,59.4725847588335,16.5,24.4,,,30.4,1687.8204549,Pinu,4.0
-117.26667262385,58.762559689666,16.1,22.2,,,31.5,277.964089958,Pinu,4.0
-111.394025567385,59.6465671151713,16.5,46.3,,,29.0,45.0861448484,Pice,4.0
-110.350538681415,59.6885460373821,14.0,31.2,,,26.1,22356.6462693,Pinu,4.0
-118.015163772448,58.4771942363658,16.0,25.8,0.0,,31.4,24140.4818333,Pinu,4.0
-119.554441268434,58.2259549715695,16.8,28.4,,,31.6,53.420035249,Pice,4.0
-107.677442377225,59.9888529380414,14.2,18.5,,,27.7,2457.324822,Pice,4.0
-114.938349771803,59.0295087559869,17.3,66.6,,,32.9,55.817213386,Pice,1.0
-119.892664048848,57.8960134769834,14.8,19.5,,,31.3,2499.03213971,Pice,4.0
-107.728158784551,59.8785060221023,14.2,18.5,,,27.7,51.435341612,Pice,4.0
-102.641858536764,60.2640715548005,9.7,9.6,,,26.8,1244.15976739,Pice,4.0
-121.1824144737,57.6196915045281,9.7,42.2,16.0,,27.0,500.155870341,Pice,4.0
-118.39038085522,58.1791137479884,16.0,25.8,0.0,,31.4,10906.4712697,Pice,4.0
-117.314010348281,58.4062063024653,16.0,25.8,0.0,,31.4,260.190324112,Pice,4.0
-111.807930749836,59.2380524159791,15.6,17.4,,,30.3,17790.0912579,Popu,4.0
-121.171829692682,57.5537933554551,13.7,53.6,0.0,,30.0,20.4673607906,Pice,4.0
-107.472866160542,59.7099717411427,14.2,18.5,,,27.7,1551.18682404,Pinu,4.0
-111.30979229045,59.2385392791433,16.3,31.2,,,30.3,1047.76552897,Popu,4.0
-112.142233363354,58.9109814433325,16.3,31.2,,,30.3,27065.5801262,Pice,4.0
-115.572276999429,58.5143179998823,12.5,25.0,,,31.4,121.11387728,Popu,4.0
-113.679690359694,58.8004551279915,8.5,1.0,,,24.0,252.696447677,Pice,4.0
-111.577645327752,59.0850670896627,16.3,31.2,,,30.3,1502.42661008,Pice,4.0
-108.656985930467,59.4342250707206,14.2,18.5,,,27.7,111.104263973,Pinu,4.0
-113.028251643137,58.5157565377044,10.2,1.0,,,30.9,223767.866854,Lari,4.0
-99.6211880004748,59.9885011999188,9.9,28.4,,,26.9,643.107899395,Pice,4.0
-110.766868622372,59.0529564748715,14.0,31.2,,,26.1,40.0651543562,Pinu,2.0
-123.716093064118,56.3765380533268,16.8,54.0,,,32.2,5341.53268517,Abie,4.0
-132.152487080945,53.6390508353411,11.8,91.6,0.0,,19.5,135.388348787,Thuj,4.0
-68.0746333070066,56.8165355901163,11.9,89.0,0.0,,27.3,414.114416688,Pice,4.0
-115.840093006077,58.0390116195093,16.6,44.8,,,30.7,4964.2022986,Popu,4.0
-114.494984204286,58.2420327122626,16.2,49.6,,,31.7,5673.71493528,Pice,4.0
-60.0092368399972,54.2376092818774,13.0,57.4,0.0,,28.9,1882.19528142,Pice,4.0
-115.966570690555,57.8959174045665,16.6,44.8,,,30.7,275.00956517,Pice,2.0
-109.046978753745,58.9447872339872,14.8,87.0,,,26.1,123.720305121,Pinu,4.0
-116.167681857658,57.7919445046106,12.1,11.0,,,30.5,12884.5232141,Pice,4.0
-112.540638492199,58.4373841185545,16.2,49.6,,,31.7,153.624923203,Pice,4.0
-119.168384858017,57.2009311704526,10.8,4.2,,,27.6,16.351304665,Pice,1.0
-105.852481567437,59.2026071354756,13.6,17.4,,,28.8,68.943528875,Pice,4.0
-114.265394236987,57.8915132239542,16.2,49.6,,,31.7,33323.7033355,Pice,4.0
-106.928429443562,59.0108513546974,13.6,17.4,,,28.8,46.5940529101,Pice,4.0
-117.061198194896,57.5173068813675,9.8,3.2,,,29.1,1287.75102428,Pice,4.0
-110.221221144243,58.5226793539369,14.0,31.2,,,26.1,54.7608369877,Pinu,1.0
-116.17207937662,57.5402471172559,12.1,11.0,,,30.5,3577.80287286,Popu,4.0
-109.518760782858,58.5088439297266,14.0,31.2,,,26.1,10689.755247,Pinu,4.0
-105.048784799584,58.9940997003649,13.6,17.4,,,28.8,3726.22241474,Pice,4.0
-121.668440994776,56.2898590004268,15.1,88.7,0.0,,30.2,3.26371190955,Popu,4.0
-114.540809011694,57.7659211741503,16.2,49.6,,,31.7,457.639725627,Pice,4.0
-64.5752847969707,55.257314224217,10.7,88.5,,,26.8,92.9164308108,Pice,4.0
-114.134904211425,57.7082766406407,17.3,66.6,,,32.9,3329.89153936,Popu,4.0
-114.721661607782,57.577429554456,15.3,25.2,,,33.3,2131.69217862,Lari,4.0
-109.510410327267,58.2680968991656,14.0,31.2,,,26.1,24008.4828009,Pinu,4.0
-101.519511499769,59.0439713998952,14.5,27.1,,,27.6,68.7164421886,Pice,4.0
-104.952177401051,58.7871089000275,12.6,52.2,0.0,,26.0,799.153699854,Pinu,4.0
-118.554959852869,56.8087223617553,16.5,73.2,,,31.1,326.38670657,Pice,4.0
-102.965405246488,58.9130970003335,13.0,36.2,0.0,,31.0,2423.842733,Pice,4.0
-112.372362204132,57.7645988337817,17.5,26.7,,,31.9,54878.9643825,Pice,4.0
-115.753476756061,57.2699890841389,17.1,33.7,,,31.4,181.246604187,Pice,4.0
-114.425785696855,57.5693319271153,16.2,49.6,,,31.7,309.496910439,Lari,4.0
-109.671603081496,58.1836376448862,14.0,31.2,,,26.1,4706.8734111,Pinu,4.0
-108.051641974204,58.3832234106807,14.2,18.5,,,27.7,2117.27298896,Pinu,4.0
-118.657338208323,56.6582693041153,16.5,73.2,,,31.1,2720.95181706,Pinu,4.0
-108.237782731628,58.2609391231226,14.2,18.5,,,27.7,752.382357269,Pinu,4.0
